Figura,Tipo,Dim. (l),Cant. (u),Tipo,"Dim. (r,h)",Variables,Restricciones
Tetraedros,Regular,1,5,Esferas,"(0.866025, NA)",191,180
Tetraedros,Regular,1,10,Esferas,"(0.985493, NA)",685,706
Tetraedros,Regular,1,15,Esferas,"(1.01160749, NA)",1515,1546
Tetraedros,Regular,1,20,Esferas,"(1.105111377, NA)",2670,2711
Tetraedros,Regular,1,5,Cilindro ,"(0.818022, 0.816497)",192,200
Tetraedros,Regular,1,10,Cilindro ,"(1.03092, 0.856305)",707,725
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
