data;


param nfigures := 30;
param npoints := 4;
param ndimensions := 3;

param tolerance := 0.001;



param distances :=
[1,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[2,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[3,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[4,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[5,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[6,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[7,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0
				
[8,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[9,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[10,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[11,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[12,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[13,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[14,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0
				
[15,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[16,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[17,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[18,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[19,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0
				
[20,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[21,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[22,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[23,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[24,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0
				
[25,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	


[26,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[27,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0

[28,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[29,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0
				
[30,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0						
;				
