*************************************************************

   NEOS Server Version 5.0
   User     : anedesquerra

   Disclaimer:

   This information is provided without any express or
   implied warranty. In particular, there is no warranty
   of any kind concerning the fitness of this
   information  for any particular purpose.
*************************************************************
Job 8350820 has finished.
##### This license is only intended for use by nomac. #####
##### License is valid until Jan 04, 2021 #####
ro.
Checking ampl.mod for knitro_options...
Checking ampl.com for knitro_options...
Executing AMPL.
processing data.
processing commands.
Executing on prod-exec-6.neos-server.org

Presolve eliminates 0 constraints and 10660 variables.
Adjusted problem:
10621 variables:
	9061 nonlinear variables
	1560 linear variables
10540 constraints; 86320 nonzeros
	7420 nonlinear constraints
	3120 linear constraints
	1800 equality constraints
	8740 inequality constraints
1 linear objective; 1 nonzero.

: threads=4

=======================================
           Academic License
       (NOT FOR COMMERCIAL USE)
         Artelys Knitro 12.1.1
=======================================

No start point provided -- Knitro computing one.

Knitro presolve eliminated 0 variables and 0 constraints.

datacheck:               0
hessian_no_f:            1
par_concurrent_evals:    0
par_numthreads:          4
The problem is identified as a QCQP.
Knitro changing algorithm from AUTO to 1.
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 4.
Knitro changing bar_penaltycons from AUTO to 0.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 2.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 5.

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  linear
Number of variables:                              10621 (       10621)
    bounded below only:                            8281 (        8281)
    bounded above only:                               0 (           0)
    bounded below and above:                          0 (           0)
    fixed:                                            0 (           0)
    free:                                          2340 (        2340)
Number of constraints:                            10540 (       10540)
    linear equalities:                              780 (         780)
    quadratic equalities:                          1020 (        1020)
    gen. nonlinear equalities:                        0 (           0)
    linear one-sided inequalities:                 2340 (        2340)
    quadratic one-sided inequalities:              6400 (        6400)
    gen. nonlinear one-sided inequalities:            0 (           0)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:            0 (           0)
Number of nonzeros in Jacobian:                   86320 (       86320)
Number of nonzeros in Hessian:                    38641 (       38641)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
       0    1.430621e+00   1.073e+03
      10    2.780407e+01   4.985e+00   4.739e-02   1.354e+01        0
      20    2.785607e+01   4.810e-01   4.602e-02   2.637e-01        0
      30    2.815331e+01   1.073e+00   4.571e-02   3.511e+00        1
      40    2.784775e+01   4.801e-01   5.295e-02   6.677e-02        0
      50    2.712288e+01   1.186e-01   5.747e-02   2.807e+00        3
      60    2.564794e+01   1.211e+00   1.000e+00   2.497e+01        2
      70    2.563693e+01   3.636e+00   1.000e+00   6.366e-01        2
      80    2.342314e+01   1.830e+00   1.000e+00   8.241e+00        1
      90    2.162328e+01   1.752e-02   1.275e+04   1.338e-01        0
     100    2.181937e+01   4.808e-01   1.000e+00   2.227e+00        3
     110    1.893976e+01   1.519e-03   1.203e+03   6.310e-02        0
     120    1.948293e+01   7.214e-01   1.000e+00   2.340e+00        2
     130    1.885749e+01   2.103e+00   1.000e+00   3.649e-02        0
     140    1.917218e+01   8.505e-03   4.419e+00   5.005e-01       13
     150    2.192775e+01   9.322e-01   2.330e+06   1.367e+01        1
     160    2.194716e+01   3.064e-01   1.040e+05   1.844e-01        0
     170    2.700994e+01   5.083e-01   4.599e+00   1.341e+01        0
     180    4.058373e+01   1.421e+00   2.006e+00   6.315e+00        0
     190    5.834751e+01   1.838e+00   8.875e-01   5.071e+00        0
     200    6.879786e+01   1.566e+00   7.470e-01   5.330e+00        0
     210    1.063584e+02   4.448e-01   3.194e-01   3.179e+01        0
     220    1.550772e+02   4.520e-01   3.606e-01   2.544e+01        0
     230    2.537209e+02   4.602e-01   6.010e-01   7.623e+01        0
     240    4.204866e+02   1.467e-03   6.997e-01   3.411e-01        0
     250    1.455097e+02   4.097e+00   1.001e-01   5.066e+00        2
     260    1.378042e+02   2.458e+00   4.198e-02   1.116e+01        0
     270    1.339364e+02   4.006e-01   2.595e-02   1.085e+00        0
     280    1.311644e+02   2.222e-01   1.817e-02   7.359e+00        1
     290    1.244241e+02   1.076e+00   1.330e-02   2.033e+00        0
     300    1.191800e+02   1.220e+00   9.704e-03   3.322e+00        0
     310    1.173230e+02   2.149e-01   8.503e-03   2.876e+00        0
     320    1.115486e+02   4.005e-01   7.230e-03   3.602e+00        0
     330    1.031959e+02   6.845e+00   6.569e-03   9.759e+00        0
     340    9.947659e+01   1.779e+00   8.359e-03   3.920e+00        0
     350    8.940641e+01   1.352e+00   7.908e-02   2.229e+01        0
     360    5.733658e+01   1.128e+01   1.354e-02   9.775e+00        0
     370    4.813561e+01   4.337e+00   7.078e-03   1.111e+01        0
     380    4.490321e+01   2.283e+00   1.885e-02   3.369e+00        0
     390    4.095771e+01   1.445e-01   7.067e-02   1.473e+01        0
     400    2.961376e+01   2.537e+00   2.511e-02   2.619e+00        0
     410    2.418889e+01   1.458e+00   9.265e-03   8.959e+00        0
